date,areaType,areaCode,areaName,cumCasesBySpecimenDate,cumDeathsByDeathDate,newCasesBySpecimenDate,newDeathsByDeathDate
"2020-12-13",region,E12000001,North East,,,,
"2020-12-12",region,E12000001,North East,107722,4432,137,1
"2020-12-11",region,E12000001,North East,107585,4431,523,12
"2020-12-10",region,E12000001,North East,107062,4419,582,19
"2020-12-09",region,E12000001,North East,106480,4400,628,17
"2020-12-08",region,E12000001,North East,105852,4383,717,22
"2020-12-07",region,E12000001,North East,105135,4361,757,33
"2020-12-06",region,E12000001,North East,104378,4328,509,24
"2020-12-05",region,E12000001,North East,103869,4304,413,33
"2020-12-04",region,E12000001,North East,103456,4271,557,21
"2020-12-03",region,E12000001,North East,102899,4250,591,27
"2020-12-02",region,E12000001,North East,102308,4223,642,24
"2020-12-01",region,E12000001,North East,101666,4199,647,24
"2020-11-30",region,E12000001,North East,101019,4175,763,33
"2020-11-29",region,E12000001,North East,100256,4142,455,34
"2020-11-28",region,E12000001,North East,99801,4108,494,30
"2020-11-27",region,E12000001,North East,99307,4078,637,24
"2020-11-26",region,E12000001,North East,98670,4054,702,32
"2020-11-25",region,E12000001,North East,97968,4022,805,31
"2020-11-24",region,E12000001,North East,97163,3991,853,39
"2020-11-23",region,E12000001,North East,96310,3952,971,36
"2020-11-22",region,E12000001,North East,95339,3916,625,38
"2020-11-21",region,E12000001,North East,94714,3878,678,39
"2020-11-20",region,E12000001,North East,94036,3839,942,40
"2020-11-19",region,E12000001,North East,93094,3799,1023,33
"2020-11-18",region,E12000001,North East,92071,3766,1342,35
"2020-11-17",region,E12000001,North East,90729,3731,1470,35
"2020-11-16",region,E12000001,North East,89259,3696,1572,29
"2020-11-15",region,E12000001,North East,87687,3667,1052,36
"2020-11-14",region,E12000001,North East,86635,3631,1051,38
"2020-11-13",region,E12000001,North East,85584,3593,1511,32
"2020-11-12",region,E12000001,North East,84073,3561,1534,22
"2020-11-11",region,E12000001,North East,82539,3539,1858,25
"2020-11-10",region,E12000001,North East,80681,3514,1777,27
"2020-11-09",region,E12000001,North East,78904,3487,2055,41
"2020-11-08",region,E12000001,North East,76849,3446,1295,22
"2020-11-07",region,E12000001,North East,75554,3424,1345,32
"2020-11-06",region,E12000001,North East,74209,3392,1460,30
"2020-11-05",region,E12000001,North East,72749,3362,1486,26
"2020-11-04",region,E12000001,North East,71263,3336,1414,26
